Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
1,3406,Soumi,Paladin,Firemaw,613 - 127,83%
1,3406,Qwneêr,Warrior,Firemaw,520 - 179,74%
3,3374,Avizura,Rogue,Gehennas,320 - 142,69%
4,3372,Mirlòl,Rogue,Firemaw,335 - 154,69%
5,3371,Tørstenstock,Warrior,Firemaw,531 - 91,85%
6,3370,Avìzura,Rogue,Gehennas,361 - 79,82%
6,3370,Gekkú,Priest,Gehennas,646 - 162,80%
8,3360,Bruñhity,Paladin,Firemaw,291 - 99,75%
9,3350,Jíashi,Priest,Gehennas,235 - 116,67%
10,3337,Íllìðåñgøðx,,Firemaw,176 - 105,63%
11,3332,Albraiky,Mage,Firemaw,413 - 246,63%
12,3328,Torstenstøck,Warrior,Firemaw,425 - 194,69%
13,3320,Pvelrd,Warrior,Gehennas,456 - 181,72%
13,3320,Mmrterrørist,Warrior,Firemaw,290 - 137,68%
13,3320,Shintà,Warrior,Firemaw,417 - 285,59%
16,3316,Chøkøpapa,Paladin,Earthshaker,151 - 85,64%
16,3316,Twínkletoes,DeathKnight,Earthshaker,260 - 165,61%
18,3301,Sáori,Paladin,Gehennas,356 - 141,72%
19,3279,Gèkkù,Priest,Firemaw,162 - 78,68%
20,3268,Deadly,Rogue,Sulfuron,430 - 365,54%
20,3268,Kindzx,Rogue,Sulfuron,623 - 536,54%
22,3267,Nayressa,Hunter,Firemaw,826 - 582,59%
23,3266,Shýxý,Druid,Firemaw,400 - 331,55%
24,3264,Djstenx,Rogue,Firemaw,167 - 99,63%
24,3264,Isquarexd,Paladin,Firemaw,554 - 416,57%
26,3262,Cx,Rogue,Firemaw,361 - 265,58%
26,3262,Hxii,Priest,Firemaw,1293 - 990,57%
28,3261,Nightspíke,DeathKnight,Firemaw,169 - 91,65%
28,3261,Clýdeqt,,Firemaw,248 - 144,63%
28,3261,Sashà,Priest,Gehennas,468 - 317,60%
28,3261,Sinz,Rogue,Sulfuron,231 - 178,56%
28,3261,Kindz,Rogue,Sulfuron,231 - 178,56%
28,3261,Kîndzx,Rogue,Sulfuron,402 - 356,53%
28,3261,Yx,Rogue,Sulfuron,362 - 327,53%
35,3260,Theillest,Rogue,Firemaw,547 - 427,56%
36,3259,Kekdoubleyûû,Druid,Firemaw,222 - 171,56%
36,3259,Worstofworst,Priest,Firemaw,378 - 304,55%
38,3257,Лакшерикошка,Priest,Flamegor,532 - 378,58%
38,3257,Форзафф,Druid,Flamegor,811 - 618,57%
40,3255,Laynerz,Mage,Gehennas,150 - 80,65%
40,3255,Likewarpal,Paladin,Firemaw,758 - 570,57%
40,3255,Tjd,Druid,Firemaw,497 - 395,56%
40,3255,Qòxéq,Priest,Firemaw,1277 - 1067,54%
44,3253,Secretpriest,Priest,Firemaw,396 - 289,58%
44,3253,Gñídà,Warlock,Firemaw,885 - 707,56%
46,3251,Mirlòl,Rogue,Gehennas,218 - 162,57%
46,3251,Caej,Warlock,Firemaw,1023 - 767,57%
46,3251,Luxurygirll,Shaman,Firemaw,276 - 228,55%
49,3250,Shínta,Warrior,Firemaw,270 - 104,72%
49,3250,Annìe,Paladin,Firemaw,243 - 96,72%
49,3250,Shintå,Warrior,Firemaw,176 - 100,64%
49,3250,Traktorcho,Shaman,Gehennas,492 - 333,60%
49,3250,Careles,Paladin,Gehennas,434 - 305,59%
54,3249,Rngmønster,Paladin,Gehennas,137 - 59,70%
54,3249,Albrk,Mage,Gehennas,338 - 232,59%
54,3249,Камапулямвп,Druid,Flamegor,533 - 374,59%
54,3249,Папатут,Priest,Flamegor,401 - 324,55%
58,3247,Razoonx,DeathKnight,Gehennas,118 - 60,66%
58,3247,Wackzyx,Rogue,Firemaw,325 - 305,52%
60,3246,Orman,Paladin,Firemaw,1116 - 992,53%
61,3245,Feeldarkness,DeathKnight,Firemaw,388 - 177,69%
61,3245,Likeapriest,Rogue,Firemaw,790 - 580,58%
61,3245,Scarlltk,Druid,Firemaw,1171 - 951,55%
61,3245,Itschanzyx,Priest,Firemaw,707 - 616,53%
65,3243,Înfúrîtý,Paladin,Gehennas,337 - 183,65%
65,3243,Secretagentx,Warlock,Gehennas,456 - 270,63%
65,3243,Симбоферал,Druid,Flamegor,1020 - 718,59%
65,3243,Homerjayx,Hunter,Firemaw,733 - 521,58%
65,3243,Вешалкка,Priest,Flamegor,656 - 565,54%
70,3242,Lãnat,Priest,Firemaw,382 - 275,58%
70,3242,Tonykingmeow,Druid,Firemaw,1172 - 976,55%
70,3242,Gargoylex,DeathKnight,Firemaw,697 - 583,54%
73,3241,Takano,Paladin,Firemaw,623 - 438,59%
73,3241,Bingx,Priest,Firemaw,375 - 285,57%
73,3241,Petráxs,Rogue,Firemaw,360 - 292,55%
73,3241,Spòttman,Druid,Firemaw,584 - 500,54%
77,3240,Sandalimx,Paladin,Firemaw,550 - 443,55%
77,3240,Äzïegødx,Warrior,Firemaw,1182 - 1005,54%
79,3239,Kenao,Paladin,Firemaw,208 - 134,61%
80,3238,Kostickax,Warrior,Firemaw,278 - 194,59%
80,3238,Apparent,Druid,Earthshaker,528 - 377,58%
80,3238,Muffit,Priest,Earthshaker,446 - 324,58%
80,3238,Dennisrodmän,Paladin,Firemaw,308 - 234,57%
84,3237,Shéar,Shaman,Firemaw,289 - 159,65%
85,3236,Barryallenxd,Paladin,Firemaw,250 - 141,64%
85,3236,Drizzerx,Paladin,Firemaw,248 - 180,58%
87,3235,Shiggenbasta,Shaman,Gehennas,321 - 149,68%
87,3235,Ÿy,Paladin,Gehennas,248 - 120,67%
87,3235,Jãmés,Warrior,Firemaw,587 - 446,57%
87,3235,Raskollbas,Paladin,Firemaw,408 - 320,56%
91,3234,Praií,Rogue,Gehennas,210 - 132,61%
91,3234,Ендюк,Paladin,Flamegor,348 - 246,59%
91,3234,Суперкар,Warrior,Flamegor,348 - 246,59%
91,3234,Dakkroth,Priest,Gehennas,484 - 348,58%
91,3234,Turaky,Priest,Gehennas,647 - 525,55%
