Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
1,2927,Ëäsyrëgïön,,Arugal,303 - 251,55%
2,2556,Weldy,,Arugal,153 - 98,61%
3,2501,Pallykillsya,Paladin,Arugal,295 - 158,65%
4,2488,Veryinnocuos,Paladin,Arugal,185 - 93,67%
5,2483,Lagspikedc,Warrior,Arugal,156 - 67,70%
6,2479,Tidy,Warrior,Arugal,290 - 153,65%
7,2477,Fzy,Priest,Arugal,154 - 72,68%
8,2472,Sincat,Druid,Arugal,190 - 78,71%
9,2471,Finkusx,Paladin,Yojamba,200 - 36,85%
9,2471,Mysteryfish,Warrior,Yojamba,174 - 32,84%
9,2471,Athenè,Priest,Arugal,309 - 179,63%
12,2457,Ëj,Rogue,Arugal,190 - 94,67%
13,2453,Wãrløck,Warlock,Arugal,755 - 208,78%
14,2447,Solved,Shaman,Arugal,649 - 168,79%
15,2418,Oxyz,Priest,Arugal,166 - 80,67%
16,2416,Fínkusx,Paladin,Yojamba,363 - 203,64%
17,2415,Sugashow,Shaman,Yojamba,284 - 179,61%
18,2413,Frøstý,,Arugal,74 - 33,69%
18,2413,Retadins,,Arugal,86 - 40,68%
20,2411,Oxz,Priest,Arugal,257 - 159,62%
21,2402,Vinkz,Paladin,Arugal,547 - 390,58%
22,2397,Sona,DeathKnight,Arugal,219 - 140,61%
23,2396,Nûkkz,Rogue,Arugal,301 - 165,65%
23,2396,Bigcitylife,Shaman,Arugal,305 - 176,63%
25,2380,Pòpeshów,Priest,Arugal,445 - 237,65%
25,2380,Bustyredhead,Warlock,Arugal,287 - 190,60%
27,2378,Connorjules,Druid,Arugal,262 - 101,72%
27,2378,Sèçrétwêãpøn,Priest,Arugal,571 - 364,61%
29,2374,Djtits,Druid,Arugal,302 - 196,61%
30,2373,Lagbugdc,Hunter,Arugal,414 - 268,61%
31,2372,Popeshow,Priest,Arugal,624 - 347,64%
31,2372,Smokeagéx,Mage,Arugal,438 - 265,62%
33,2371,Prøßlémchïld,Priest,Arugal,122 - 69,64%
33,2371,Brathdk,DeathKnight,Arugal,223 - 173,56%
33,2371,Riggered,Paladin,Arugal,212 - 169,56%
36,2370,Zendarks,Shaman,Arugal,287 - 216,57%
37,2368,Killsyapally,Paladin,Arugal,310 - 182,63%
38,2367,Wär,Warrior,Arugal,187 - 121,61%
39,2366,Pâlädín,Paladin,Arugal,105 - 68,61%
40,2364,Trapps,Druid,Arugal,438 - 348,56%
40,2364,Holycakes,Priest,Arugal,505 - 413,55%
42,2363,Dejection,DeathKnight,Arugal,287 - 124,70%
42,2363,Bazx,Mage,Arugal,166 - 98,63%
42,2363,Georgesmash,Paladin,Arugal,367 - 217,63%
42,2363,Ej,Rogue,Arugal,591 - 359,62%
46,2354,Tmoney,Shaman,Arugal,150 - 69,68%
47,2353,Ðpr,Priest,Arugal,599 - 465,56%
47,2353,Thingthree,Rogue,Arugal,459 - 422,52%
49,2351,Thebloodfang,Rogue,Arugal,217 - 167,57%
49,2351,Drredemption,Priest,Arugal,213 - 168,56%
51,2336,Pðpeshðw,Paladin,Arugal,284 - 176,62%
52,2332,Incarnation,DeathKnight,Arugal,407 - 230,64%
53,2328,Mangobay,Shaman,Arugal,320 - 242,57%
54,2322,Lyzaqu,DeathKnight,Arugal,182 - 103,64%
55,2293,Donaldtrump,Paladin,Arugal,196 - 136,59%
55,2293,Freskah,Warrior,Arugal,192 - 148,56%
57,2288,Holymecha,Paladin,Yojamba,218 - 151,59%
57,2288,Mésh,Warrior,Yojamba,411 - 359,53%
59,2284,Imposing,DeathKnight,Arugal,368 - 253,59%
60,2277,Ultraproblem,Paladin,Arugal,121 - 73,62%
61,2276,Jakdtothetit,Shaman,Arugal,98 - 73,57%
62,2275,Reasonable,Mage,Arugal,199 - 117,63%
63,2273,Bâz,Mage,Arugal,405 - 271,60%
64,2262,Freskahx,Warrior,Arugal,625 - 466,57%
64,2262,Dog,Warrior,Arugal,478 - 379,56%
66,2245,Jidoc,Priest,Arugal,391 - 276,59%
67,2243,Hiddentech,Shaman,Arugal,214 - 131,62%
68,2235,Notchen,Priest,Arugal,229 - 208,52%
69,2232,Nodrip,Warrior,Arugal,373 - 251,60%
70,2231,Blazeybill,Hunter,Arugal,493 - 361,58%
70,2231,Hotspotjr,Priest,Arugal,328 - 276,54%
72,2229,Svensson,Paladin,Arugal,256 - 165,61%
73,2224,Gabeman,Paladin,Arugal,477 - 338,59%
74,2222,Notsinista,Rogue,Arugal,399 - 277,59%
75,2212,Imadkloldie,DeathKnight,Arugal,307 - 116,73%
76,2195,Hëålßøt,Paladin,Arugal,158 - 104,60%
77,2192,Wotlkistrash,Druid,Arugal,121 - 105,54%
78,2177,Blasébill,Hunter,Arugal,208 - 130,62%
79,2175,Brathbrath,Warrior,Arugal,296 - 254,54%
80,2165,Grimrr,Rogue,Arugal,472 - 392,55%
81,2161,Oxyp,Paladin,Arugal,99 - 55,64%
